seq	cluster
HEV-3c_MW355385.1	cluster2
HEV-3c_MW355386.1	cluster2
HEV-3c_MW355402.1	cluster2
HEV-3g_MT362711.1	cluster2
HEV-3c_MW355286.1	cluster2
HEV-3c_MW355293.1	cluster2
HEV-3c_MW355300.1	cluster2
HEV-3c_MW355328.1	cluster2
HEV-3l_MF444131.1	cluster2
HEV-3c_MW355224.1	cluster2
HEV-3c_MW355268.1	cluster2
HEV-3c_MW355279.1	cluster2
HEV-3c_MW355282.1	cluster2
HEV-3c_MW355320.1	cluster2
HEV-3c_MW355362.1	cluster2
HEV-3c_MW355372.1	cluster2
HEV-3c_MW355379.1	cluster2
HEV-3uc3_MW355317.1	cluster2
HEV-3c_MW355218.1	cluster2
HEV-3c_MW355231.1	cluster2
HEV-3c_MW355245.1	cluster2
HEV-3c_MW355271.1	cluster2
HEV-3c_MW355273.1	cluster2
HEV-3c_MW355304.1	cluster2
HEV-3c_MW355309.1	cluster2
HEV-3c_MW355364.1	cluster2
HEV-3c_MF444064.1	cluster2
HEV-3c_MW355235.1	cluster2
HEV-3c_MW355283.1	cluster2
HEV-3c_MW355360.1	cluster2
HEV-3c_MW355335.1	cluster2
HEV-3h1_MW355302.1	cluster2
HEV-3c_MW355229.1	cluster2
HEV-3c_MW355233.1	cluster2
HEV-3c_MW355295.1	cluster2
HEV-3c_MF444114.1	cluster2
HEV-3c_MW355303.1	cluster2
HEV-3c_MW355269.1	cluster2
HEV-3c_MW355313.1	cluster2
HEV-3c_MT362712.1	cluster2
HEV-3c_MF444044.1	cluster2
HEV-3c_MF444071.1	cluster2
HEV-3c_OK665855.1	cluster2
HEV-3c_MF444031.1	cluster2
HEV-3l_KY766999.1	cluster2
HEV-3l_MG674164.1	cluster2
HEV-3h1_MZ923534.1	cluster2
HEV-3c_MF444063.1	cluster2
HEV-3c_KJ701409.1	cluster2
HEV-3c_MN614139.1	cluster2
HEV-3f2b_MZ289076.1	cluster2
HEV-3c_MW837253.1	cluster2
HEV-3h1_MZ923543.1	cluster2
HEV-3c_LC406479.1	cluster2
HEV-3l_MF444121.1	cluster2
HEV-3c_MN629976.1	cluster2
HEV-3c_MT840366.1	cluster2
HEV-3m_KU513561.1	cluster2
HEV-3uc3_MZ969073.1	cluster2
HEV-3c_MT840360.1	cluster2
HEV-3c_OM104034.1	cluster2
HEV-3m_MZ289090.1	cluster2
HEV-3m_MZ289096.1	cluster2
HEV-3m_MZ289100.1	cluster2
HEV-3c_MZ289133.1	cluster2
HEV-3m_MZ289082.1	cluster2
HEV-3m_MZ289103.1	cluster2
HEV-3m_MZ289113.1	cluster2
HEV-3m_MZ289119.1	cluster2
HEV-3c_MT840362.1	cluster2
HEV-3c_MW837254.1	cluster2
HEV-3c_MT840364.1	cluster2
HEV-3c_MT840361.1	cluster2
HEV-3ra_FJ906895.1	cluster3
HEV-3ra_GU937805.1	cluster3
HEV-3ra_MT364355.1	cluster3
HEV-3ra_AB740222.1	cluster3
HEV-3ra_JX565469.1	cluster3
HEV-3ra_KX227751.1	cluster3
HEV-3ra_MF480297.1	cluster3
HEV-3ra_FJ906896.1	cluster3
HEV-3ra_AB740220.1	cluster3
HEV-3ra_KY496200.1	cluster3
HEV-3ra_LC535077.1	cluster3
HEV-3ra_MF480298.1	cluster3
HEV-3ra_JQ013793.1	cluster3
HEV-3ra_KY436898.1	cluster3
HEV-3ra_MW002523.1	cluster3
HEV-3ra_MF444099.1	cluster3
HEV-3ra_MF444074.1	cluster3
HEV-3ra_MW002522.1	cluster3
HEV-3ra_MZ676759.1	cluster3
HEV-3ra_MK050463.1	cluster3
HEV-3ra_MZ676750.1	cluster3
HEV-3ra_MZ676751.1	cluster3
HEV-3ra_MZ676752.1	cluster3
HEV-3ra_MZ676753.1	cluster3
HEV-3ra_MZ676754.1	cluster3
HEV-3ra_MZ676756.1	cluster3
HEV-3ra_MZ676758.1	cluster3
HEV-3ra_MZ676761.1	cluster3
HEV-3ra_MZ676762.1	cluster3
HEV-3ra_MZ676763.1	cluster3
HEV-3ra_MZ676764.1	cluster3
HEV-3ra_MZ676765.1	cluster3
HEV-3ra_MZ676766.1	cluster3
HEV-3ra_MZ676767.1	cluster3
HEV-3ra_MZ676768.1	cluster3
HEV-3ra_MZ676769.1	cluster3
HEV-3ra_MZ676770.1	cluster3
HEV-3ra_MZ676749.1	cluster3
HEV-3ra_MZ676755.1	cluster3
HEV-3ra_MZ676757.1	cluster3
HEV-3ra_MZ676760.1	cluster3
HEV-3ra_MZ676773.1	cluster3
HEV-3ra_MZ676774.1	cluster3
HEV-3ra_MZ676772.1	cluster3
HEV-3ra_MZ676771.1	cluster3
HEV-4a_KC692453.1	cluster4
HEV-4i_EF570133.1	cluster4
HEV-4a_JQ655733.1	cluster4
HEV-4d_FJ610232.1	cluster4
HEV-4a_EU366959.1	cluster4
HEV-4c_AB220978.1	cluster4
HEV-4d_HM152568.1	cluster4
HEV-4c_AB220972.1	cluster4
HEV-4a_MK330953.1	cluster4
HEV-4c_AB220973.1	cluster4
HEV-4c_AB480825.1	cluster4
HEV-4d_AY594199.1	cluster4
HEV-4d_GU206559.1	cluster4
HEV-4b_EU676172.2	cluster4
HEV-4f_AB220974.1	cluster4
HEV-4c_AB220976.1	cluster4
HEV-4c_AB220977.1	cluster4
HEV-4a_OP185389.1	cluster4
HEV-4c_AB220979.1	cluster4
HEV-4h_GU119961.3	cluster4
HEV-4h_KJ155502.1	cluster4
HEV-4h_KR872414.1	cluster4
HEV-4h_KR872415.1	cluster4
HEV-4h_KR872416.1	cluster4
HEV-4h_KR872417.1	cluster4
HEV-4h_KU356182.1	cluster4
HEV-4h_KU356183.1	cluster4
HEV-4h_KU356184.1	cluster4
HEV-4h_KU356185.1	cluster4
HEV-4h_KU356186.1	cluster4
HEV-4h_KU356187.1	cluster4
HEV-4h_KU356188.1	cluster4
HEV-4h_KU356189.1	cluster4
HEV-4h_KY929403.1	cluster4
HEV-4h_KY929404.1	cluster4
HEV-4c_AB220971.1	cluster4
HEV-4c_AB220975.1	cluster4
HEV-4e_AY723745.1	cluster4
HEV-4i_JF915746.1	cluster4
HEV-4i_LC646471.1	cluster4
HEV-4i_LC657084.1	cluster4
HEV-4a_EF077630.1	cluster4
HEV-4d_JQ655736.1	cluster4
HEV-4uc1b_MK410045.1	cluster4
HEV-4a_AB197674.1	cluster4
HEV-4a_FJ763142.1	cluster4
HEV-4d_OM780138.1	cluster4
HEV-4a_GU119960.2	cluster4
HEV-4a_LC037955.1	cluster4
HEV-4c_AB097811.1	cluster4
HEV-4c_AB097812.1	cluster4
HEV-4a_AB197673.1	cluster4
HEV-4h_JQ655735.1	cluster4
HEV-4a_HQ634346.1	cluster4
HEV-4c_AB193177.1	cluster4
HEV-4c_LC406516.1	cluster4
HEV-4c_LC406520.1	cluster4
HEV-4c_LC406595.1	cluster4
HEV-4c_LC406596.1	cluster4
HEV-4c_LC406614.1	cluster4
HEV-4c_AB291965.1	cluster4
HEV-4c_AB291966.1	cluster4
HEV-4c_AB291967.1	cluster4
HEV-4c_AB291968.1	cluster4
HEV-4c_LC406478.1	cluster4
HEV-4c_LC406503.1	cluster4
HEV-4c_LC406525.1	cluster4
HEV-4c_LC406527.1	cluster4
HEV-4c_LC406537.1	cluster4
HEV-4c_LC406543.1	cluster4
HEV-4c_LC406563.1	cluster4
HEV-4c_LC406582.1	cluster4
HEV-4c_LC406592.1	cluster4
HEV-4c_LC406630.1	cluster4
HEV-4d_KX827238.1	cluster4
HEV-4c_LC406476.1	cluster4
HEV-4c_LC406480.1	cluster4
HEV-4c_LC406530.1	cluster4
HEV-4c_LC406540.1	cluster4
HEV-4c_LC406566.1	cluster4
HEV-4c_LC406584.1	cluster4
HEV-4c_LC406591.1	cluster4
HEV-4c_LC406634.1	cluster4
HEV-4c_LC406661.1	cluster4
HEV-4c_LC406665.1	cluster4
HEV-4b_AB253420.1	cluster4
HEV-4c_AB481227.1	cluster4
HEV-4c_LC387631.1	cluster4
HEV-4c_LC406499.1	cluster4
HEV-4c_LC406514.1	cluster4
HEV-4c_LC406586.1	cluster4
HEV-4d_KC163335.1	cluster4
HEV-4a_MK410049.1	cluster4
HEV-4c_LC022745.1	cluster4
HEV-4d_KX531115.1	cluster4
HEV-4h_JQ740781.1	cluster4
HEV-4h_KM253769.1	cluster4
HEV-4i_AB602439.1	cluster4
HEV-4i_AB602440.1	cluster4
HEV-4c_AB193176.1	cluster4
HEV-4c_AB200239.1	cluster4
HEV-4g_LC387632.1	cluster4
HEV-4h_GU188851.1	cluster4
HEV-4c_AB099347.1	cluster4
HEV-4d_GU361892.1	cluster4
HEV-4a_KC492825.1	cluster4
HEV-4d_KF176351.1	cluster4
HEV-4a_MK410051.1	cluster4
HEV-4h_DQ450072.1	cluster4
HEV-4a_MK410050.1	cluster4
HEV-4d_MZ544007.1	cluster4
HEV-4a_MK410052.1	cluster4
HEV-4a_MW365405.1	cluster4
HEV-4b_AB291964.1	cluster4
HEV-4b_LC428039.1	cluster4
HEV-4i_JQ993308.1	cluster4
HEV-4a_ON226513.1	cluster4
HEV-4d_ON759255.1	cluster4
HEV-4h_MZ544005.1	cluster4
HEV-4a_MK410047.1	cluster4
HEV-4b_LC436449.1	cluster4
HEV-4i_LC406485.1	cluster4
HEV-4i_LC406491.1	cluster4
HEV-4d_ON759254.1	cluster4
HEV-4b_LC436450.1	cluster4
HEV-4b_LC603639.1	cluster4
HEV-4a_ON571311.1	cluster4
HEV-4c_AB074915.3	cluster4
HEV-4g_AB698654.1	cluster4
HEV-4i_AB369690.1	cluster4
HEV-4a_ON226514.1	cluster4
HEV-4c_AB074917.3	cluster4
HEV-4c_LC406588.1	cluster4
HEV-4b_DQ279091.2	cluster4
HEV-4c_AB091395.1	cluster4
HEV-4c_LC406494.1	cluster4
HEV-4d_MZ544001.1	cluster4
HEV-4d_MZ544006.1	cluster4
HEV-4h_KF736234.1	cluster4
HEV-4b_JX855794.1	cluster4
HEV-4c_LC406547.1	cluster4
HEV-4c_LC406577.1	cluster4
HEV-4c_LC406504.1	cluster4
HEV-4c_LC406528.1	cluster4
HEV-4c_LC406573.1	cluster4
HEV-4c_LC406599.1	cluster4
HEV-4c_LC406609.1	cluster4
HEV-4c_LC406641.1	cluster4
HEV-4c_LC406656.1	cluster4
HEV-4c_LC406666.1	cluster4
HEV-4d_AJ272108.1	cluster4
HEV-4d_LC406545.1	cluster4
HEV-4d_MZ544004.1	cluster4
HEV-4h_LC406515.1	cluster4
HEV-4a_MK410053.1	cluster4
HEV-4c_LC406502.1	cluster4
HEV-4c_LC406511.1	cluster4
HEV-4c_LC406513.1	cluster4
HEV-4c_LC406521.1	cluster4
HEV-4c_LC406550.1	cluster4
HEV-4c_LC406557.1	cluster4
HEV-4c_LC406576.1	cluster4
HEV-4c_LC406593.1	cluster4
HEV-4c_LC406608.1	cluster4
HEV-4c_LC406652.1	cluster4
HEV-4c_LC406667.1	cluster4
HEV-4g_MZ544002.1	cluster4
HEV-4c_LC406495.1	cluster4
HEV-4g_MZ544003.1	cluster4
HEV-4b_OM388298.1	cluster4
HEV-4c_LC406498.1	cluster4
HEV-4c_LC406500.1	cluster4
HEV-4c_LC406538.1	cluster4
HEV-4c_LC406544.1	cluster4
HEV-4c_LC406574.1	cluster4
HEV-4c_LC406589.1	cluster4
HEV-4c_LC406597.1	cluster4
HEV-4c_LC406598.1	cluster4
HEV-4c_LC406602.1	cluster4
HEV-4c_LC406605.1	cluster4
HEV-4c_LC406628.1	cluster4
HEV-4c_LC406655.1	cluster4
HEV-4g_LC406568.1	cluster4
HEV-4i_HM439284.1	cluster4
HEV-4c_LC406473.1	cluster4
HEV-4c_LC406613.1	cluster4
HEV-4c_LC406642.1	cluster4
HEV-4c_LC406653.1	cluster4
HEV-4a_ON226515.1	cluster4
HEV-4a_ON571312.1	cluster4
HEV-4c_LC406507.1	cluster4
HEV-4c_LC406567.1	cluster4
HEV-4c_LC406616.1	cluster4
HEV-4uc1a_AB369688.1	cluster4
HEV-4a_MW365406.1	cluster4
HEV-4b_LC406551.1	cluster4
HEV-4b_LC406649.1	cluster4
HEV-4b_LC042232.1	cluster4
HEV-4b_LC406663.1	cluster4
HEV-4b_LC406594.1	cluster4
HEV-4i_AB521805.1	cluster4
HEV-4i_AB521806.1	cluster4
HEV-4a_ON226518.1	cluster4
HEV-4a_ON571313.1	cluster4
HEV-4c_LC406506.1	cluster4
HEV-4i_LC406489.1	cluster4
HEV-4c_LC406660.1	cluster4
HEV-4d_MK410044.1	cluster4
HEV-4i_AB909124.1	cluster4
HEV-4i_AB909125.1	cluster4
HEV-4i_LC406482.1	cluster4
HEV-4i_LC406483.1	cluster4
HEV-4i_LC406484.1	cluster4
HEV-4i_LC406486.1	cluster4
HEV-4i_LC406487.1	cluster4
HEV-4i_LC406488.1	cluster4
HEV-4i_LC406490.1	cluster4
HEV-4a_ON226512.1	cluster4
HEV-4c_AB291959.1	cluster4
HEV-4c_LC406512.1	cluster4
HEV-4a_MK410046.1	cluster4
HEV-4i_LC406529.1	cluster4
HEV-4uc1b_MK410048.1	cluster4
HEV-4c_LC406554.1	cluster4
HEV-4a_ON226516.1	cluster4
HEV-4a_ON226510.1	cluster4
HEV-4c_AB161717.1	cluster4
HEV-4c_AB161718.1	cluster4
HEV-4c_AB161719.1	cluster4
HEV-4a_ON226511.1	cluster4
HEV-4g_AB108537.1	cluster4
HEV-4c_LC406638.1	cluster4
HEV-4i_LC406659.1	cluster4
HEV-4c_AB080575.1	cluster4
HEV-4a_ON226517.1	cluster4
HEV-4a_ON571310.1	cluster4
HEV-4c_LC406631.1	cluster4
HEV-4c_AB193178.1	cluster4
HEV-4c_LC406558.1	cluster4
HEV-4a_MF567575.1	cluster4
HEV-4c_LC406472.1	cluster4
HEV-4c_LC406510.1	cluster4
HEV-4c_LC406559.1	cluster4
HEV-4c_LC406564.1	cluster4
HEV-4c_LC406548.1	cluster4
HEV-4c_LC406565.1	cluster4
HEV-4c_LC406590.1	cluster4
HEV-4c_LC406640.1	cluster4
HEV-4c_LC406536.1	cluster4
HEV-4c_LC406604.1	cluster4
HEV-4c_LC406549.1	cluster4
HEV-4b_LC406556.1	cluster4
HEV-4b_LC406496.1	cluster4
HEV-4a_LC406552.1	cluster4
HEV-4b_LC406570.1	cluster4
HEV-4b_ON759256.1	cluster4
HEV-3ra_MG211751.1	cluster5
HEV-3ra_MG211750.1	cluster5
HEV-3ra_JQ013791.1	cluster6
HEV-3a_JQ013792.1	cluster6
HEV-3g_OM777188.1	cluster7
HEV-3g_AF455784.1	cluster8
HEV-1f_JF443726.1	cluster9
HEV-1a_LC061267.1	cluster9
HEV-1b_L25595.1	cluster9
HEV-1f_MH992013.1	cluster9
HEV-1f_JF443721.1	cluster9
HEV-1f_MH992011.1	cluster9
HEV-1f_MH992012.1	cluster9
HEV-1uc1_FJ457024.1	cluster9
HEV-1f_MH992007.1	cluster9
HEV-1f_MH992008.1	cluster9
HEV-1f_MH992009.1	cluster9
HEV-1f_MH992010.1	cluster9
HEV-1a_DQ459342.1	cluster9
HEV-1a_JF443718.1	cluster9
HEV-1a_JF443719.1	cluster9
HEV-1f_MH992002.1	cluster9
HEV-1f_MH992003.1	cluster9
HEV-1f_MH992004.1	cluster9
HEV-1f_MH992005.1	cluster9
HEV-1f_MH992006.1	cluster9
HEV-1f_MH991996.1	cluster9
HEV-1f_MH991997.1	cluster9
HEV-1f_MH991998.1	cluster9
HEV-1f_MH991999.1	cluster9
HEV-1f_MH992000.1	cluster9
HEV-1f_MH992001.1	cluster9
HEV-1b_JQ655734.1	cluster9
HEV-1d_AY230202.1	cluster9
HEV-1g_LC225387.1	cluster9
HEV-1g_LC314155.1	cluster9
HEV-1g_LC314156.1	cluster9
HEV-1g_LC314157.1	cluster9
HEV-1g_LC314158.1	cluster9
HEV-1uc1_JF443723.1	cluster9
HEV-1f_MH504162.1	cluster9
HEV-1uc1_MH074880.1	cluster9
HEV-1a_M73218.1	cluster9
HEV-1b_D11092.1	cluster9
HEV-1a_AF459438.1	cluster9
HEV-1a_JF443720.1	cluster9
HEV-1c_JF443717.1	cluster9
HEV-1f_JF443722.1	cluster9
HEV-1f_JF443724.1	cluster9
HEV-1f_MH991995.1	cluster9
HEV-1c_X98292.1	cluster9
HEV-1f_MH991993.1	cluster9
HEV-1f_MH991994.1	cluster9
HEV-1uce_MH918640.1	cluster9
HEV-1uce_OQ077986.1	cluster9
HEV-1uc1_JF443725.1	cluster9
HEV-1b_M94177.1	cluster9
HEV-1a_AF051830.1	cluster9
HEV-1f_MH504154.1	cluster9
HEV-1g_MH504158.1	cluster9
HEV-1g_KY436505.1	cluster9
HEV-1g_KY436506.1	cluster9
HEV-1g_KY436507.1	cluster9
HEV-1a_AF076239.3	cluster9
HEV-1a_D10330.1	cluster9
HEV-1a_X99441.1	cluster9
HEV-1b_D11093.1	cluster9
HEV-1g_MH504161.1	cluster9
HEV-1b_L25547.1	cluster9
HEV-1g_MH504155.1	cluster9
HEV-1g_MH504156.1	cluster9
HEV-1g_MH504163.1	cluster9
HEV-1g_MH504159.1	cluster9
HEV-1f_AB720034.1	cluster9
HEV-1f_AB720035.1	cluster9
HEV-1g_MH504160.1	cluster9
HEV-1a_MH504157.1	cluster9
HEV-1b_L08816.1	cluster9
HEV-1b_NC_001434.1	cluster9
HEV-1e_AY204877.1	cluster9
HEV-1g_LC684115.1	cluster9
HEV-1a_AF185822.1	cluster9
HEV-1b_M80581.1	cluster9
HEV-1g_MN401238.1	cluster9
HEV-1g_LC406467.1	cluster9
HEV-1g_LC406468.1	cluster9
HEV-1g_LC406469.1	cluster9
HEV-1g_LC406470.1	cluster9
HEV-1g_LC406471.1	cluster9
HEV-1uc1_LC406532.1	cluster9
HEV-1f_LC406519.1	cluster9
HEV-1uc1_LC406477.1	cluster9
HEV-1uc1_LC406664.1	cluster9
HEV-1uce_OQ077997.1	cluster9
